Company Name,Location,Gross Floor Area (m²),Annual Electricity Use (kWh),Electricity Use Intensity (kWh/m²),Operating Hours per Week,Number of Employees
Tech Innovators Inc.,"Toronto, ON",10000,1500000,150,60,500
Green Solutions Ltd.,"Ottawa, ON",8000,1000000,125,50,300
HealthFirst Clinics,"Mississauga, ON",12000,1800000,150,80,200
EduSmart Learning,"Hamilton, ON",15000,2250000,150,70,250
FinServe Financials,"Brampton, ON",9000,1350000,150,55,150
RetailHub Stores,"Toronto, ON",20000,3000000,150,90,400
AutoDrive Manufacturing,"Ottawa, ON",25000,5000000,200,100,600
Foodies Delight,"Mississauga, ON",18000,3600000,200,120,350
MedEquip Supplies,"Hamilton, ON",10000,1500000,150,60,200
CleanEnergy Corp.,"Brampton, ON",22000,4400000,200,85,500
SoftWare Solutions,"Toronto, ON",14000,2100000,150,65,300
PrintWorks Publishing,"Ottawa, ON",16000,2400000,150,70,250
FashionForward Apparel,"Mississauga, ON",12000,1800000,150,60,200
AgroGoods Ltd.,"Hamilton, ON",30000,6000000,200,150,700
TransLogistics Inc.,"Brampton, ON",28000,5600000,200,140,650
